task,criterion,group,original,weight_50,weight_60
A1,R001,other,10,7.69230769230769230769230769230769230769230769231,6.15384615384615384615384615384615384615384615385
A1,R002,other,25,19.2307692307692307692307692307692307692307692308,15.3846153846153846153846153846153846153846153846
A1,R003,other,20,15.3846153846153846153846153846153846153846153846,12.3076923076923076923076923076923076923076923077
A1,R004,focus,35,50,60
A1,R005,other,5,3.84615384615384615384615384615384615384615384615,3.07692307692307692307692307692307692307692307692
A1,R006,other,5,3.84615384615384615384615384615384615384615384615,3.07692307692307692307692307692307692307692307692
A2,R001,other,15,9.375,7.5
A2,R002,other,35,21.875,17.5
A2,R003,other,20,12.5,10
A2,R004,focus,20,50,60
A2,R005,other,5,3.125,2.5
A2,R006,other,5,3.125,2.5
B1,R001,other,10,7.69230769230769230769230769230769230769230769231,6.15384615384615384615384615384615384615384615385
B1,R002,other,15,11.5384615384615384615384615384615384615384615385,9.23076923076923076923076923076923076923076923077
B1,R003,other,10,7.69230769230769230769230769230769230769230769231,6.15384615384615384615384615384615384615384615385
B1,R004,other,15,11.5384615384615384615384615384615384615384615385,9.23076923076923076923076923076923076923076923077
B1,R005,other,8,6.15384615384615384615384615384615384615384615385,4.92307692307692307692307692307692307692307692308
B1,R006,other,7,5.38461538461538461538461538461538461538461538462,4.30769230769230769230769230769230769230769230769
B1,R007,focus,25,35.7142857142857142857142857142857142857142857143,42.8571428571428571428571428571428571428571428571
B1,R008,focus,10,14.2857142857142857142857142857142857142857142857,17.1428571428571428571428571428571428571428571429
B2,R001,other,15,11.5384615384615384615384615384615384615384615385,9.23076923076923076923076923076923076923076923077
B2,R002,other,25,19.2307692307692307692307692307692307692307692308,15.3846153846153846153846153846153846153846153846
B2,R003,other,25,19.2307692307692307692307692307692307692307692308,15.3846153846153846153846153846153846153846153846
B2,R004,focus,20,28.5714285714285714285714285714285714285714285714,34.2857142857142857142857142857142857142857142857
B2,R005,focus,15,21.4285714285714285714285714285714285714285714286,25.7142857142857142857142857142857142857142857143
C1,R001,other,15,11.5384615384615384615384615384615384615384615385,9.23076923076923076923076923076923076923076923077
C1,R002,other,20,15.3846153846153846153846153846153846153846153846,12.3076923076923076923076923076923076923076923077
C1,R003,other,15,11.5384615384615384615384615384615384615384615385,9.23076923076923076923076923076923076923076923077
C1,R004,other,10,7.69230769230769230769230769230769230769230769231,6.15384615384615384615384615384615384615384615385
C1,R005,focus,35,50,60
C1,R006,other,5,3.84615384615384615384615384615384615384615384615,3.07692307692307692307692307692307692307692307692
C2,R001,other,35,26.9230769230769230769230769230769230769230769231,21.5384615384615384615384615384615384615384615385
C2,R002,other,10,7.69230769230769230769230769230769230769230769231,6.15384615384615384615384615384615384615384615385
C2,R003,other,10,7.69230769230769230769230769230769230769230769231,6.15384615384615384615384615384615384615384615385
C2,R004,focus,35,50,60
C2,R005,other,5,3.84615384615384615384615384615384615384615384615,3.07692307692307692307692307692307692307692307692
C2,R006,other,5,3.84615384615384615384615384615384615384615384615,3.07692307692307692307692307692307692307692307692
