task,criterion,group,original_points,weight_50_exact,weight_60_exact,weight_70_exact
A1,R001,other,10,100/13,80/13,60/13
A1,R002,other,25,250/13,200/13,150/13
A1,R003,other,20,200/13,160/13,120/13
A1,R004,focus,35,50,60,70
A1,R005,other,5,50/13,40/13,30/13
A1,R006,other,5,50/13,40/13,30/13
A2,R001,other,15,75/8,15/2,45/8
A2,R002,other,35,175/8,35/2,105/8
A2,R003,other,20,25/2,10,15/2
A2,R004,focus,20,50,60,70
A2,R005,other,5,25/8,5/2,15/8
A2,R006,other,5,25/8,5/2,15/8
B1,R001,other,10,100/13,80/13,60/13
B1,R002,other,15,150/13,120/13,90/13
B1,R003,other,10,100/13,80/13,60/13
B1,R004,other,15,150/13,120/13,90/13
B1,R005,other,8,80/13,64/13,48/13
B1,R006,other,7,70/13,56/13,42/13
B1,R007,focus,25,250/7,300/7,50
B1,R008,focus,10,100/7,120/7,20
B2,R001,other,15,150/13,120/13,90/13
B2,R002,other,25,250/13,200/13,150/13
B2,R003,other,25,250/13,200/13,150/13
B2,R004,focus,20,200/7,240/7,40
B2,R005,focus,15,150/7,180/7,30
C1,R001,other,15,150/13,120/13,90/13
C1,R002,other,20,200/13,160/13,120/13
C1,R003,other,15,150/13,120/13,90/13
C1,R004,other,10,100/13,80/13,60/13
C1,R005,focus,35,50,60,70
C1,R006,other,5,50/13,40/13,30/13
C2,R001,other,35,350/13,280/13,210/13
C2,R002,other,10,100/13,80/13,60/13
C2,R003,other,10,100/13,80/13,60/13
C2,R004,focus,35,50,60,70
C2,R005,other,5,50/13,40/13,30/13
C2,R006,other,5,50/13,40/13,30/13
