task,generation_outcome_kind,slots,collected_finals,scored,judge_pending,no_final,mean_original_points,mean_60_points,passes_60,pass_at_1,pass_at_8,difficulty_sample_certified
A1,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,5,5,5,0,0,86.3880811752233856,85.6267430888057911384615384615384615384615384615384615384615,5,,,False
A1,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,3,3,3,0,0,99,99.3846153846153846153846153846153846153846153846153846153846,3,,,False
A2,NO_COLLECTED_FINAL,4,0,0,0,4,,,,,,False
A2,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,1,1,0,1,0,,,,,,False
A2,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,3,3,1,2,0,76.4838647714175950825970034575489819439115,75.83317326162120630042258932001536688436575,1,,,False
B1,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,5,5,2,3,0,99.9,99.9384615384615384615384615384615384615384615384615384615384,2,,,False
B1,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,3,3,1,2,0,100,100,1,,,False
B2,NO_COLLECTED_FINAL,1,0,0,0,1,,,,,,False
B2,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,7,7,5,2,0,94.3190476190476184,90.4967032967032954989010989010989010989010989010989010989011,5,,,False
C1,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,6,6,1,5,0,79.880861281667501074353939312188664333785,77.5855467418957197246860362322498803926984615384615384615385,1,,,False
C1,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,2,2,0,2,0,,,,,,False
C2,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,4,4,2,2,0,67.758156129584701013272441845,69.6693548210031726515242998776923076923076923076923076923077,1,,,False
C2,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,4,4,3,1,0,83.2692307692307692307692307691,76.8836291913214990138067061143179487179487179487179487179487,2,,,False
