id,task,task_version,judge_version,judge_commit,system,requested_model,actual_model_ids,model_identity_status,generation_config_id,config,attempt,trial_id,generation,finished_at,status,upstream_exception,collection_ok,source_output_absence_confirmed,answer,input_dir,output_sha256,score_decimal,pass,receipt,eligible_for_score_replay,supersedes_trial,count_as_new_agent_sample,ability_evidence_status,judge_repository
A2-codex-R07,A2,new6-a2-v1.0-zambia,new6-a2-facts-v1.3-real-gdp-labels,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/A2-codex-R07.json,7,NEW6-A-MACRO-SCENARIO-001-CODEX__KuA3hX6,existing_unchanged_generation,2026-09-05T19:21:18.161836Z,SCORED,,True,False,results/answers/A2-codex-R07/output/answer.xlsx,results/answers/A2-codex-R07/input,a175fae421d9a684f2c9c244ae493f19d7f21036fd404c1aff39617ab079c753,1,True,results/receipts/A2-codex-R07/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
C2-codex-R04,C2,new6-c2-natural-v2,new6-usps-facts-v2.1-wide-rate-layout,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/C2-codex-R04.json,4,NEW6-C-PARCEL-TARIFF-001-CODEX-R__ousdxdq,existing_unchanged_generation,2026-09-05T22:41:48.584041Z,JUDGE_ERROR,,True,False,results/answers/C2-codex-R04/output/answer.xlsx,results/answers/C2-codex-R04/input,1430c5e1ecbae182bbccda1780332055d6e6bb29a429da3bfab5189ad16bfd58,,,results/receipts/C2-codex-R04/prior/verifier/judge-result.json,True,,True,NOT_APPLICABLE_NO_SCORED_WORKBOOK,alex051107/excelbench-p15-results
A2-codex-R01,A2,new6-a2-v1.0-zambia,new6-a2-facts-v1.3-real-gdp-labels,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/A2-codex-R01.json,1,NEW6-A-MACRO-SCENARIO-001-CODEX__iMDar7U,existing_unchanged_generation,2026-09-05T18:54:35.125927Z,JUDGE_ERROR,,True,False,results/answers/A2-codex-R01/output/answer.xlsx,results/answers/A2-codex-R01/input,2d8115557d99e5f23974434662a6fb9bbb7e7b67520e720c48c053e4248f9ad1,,,results/receipts/A2-codex-R01/prior/verifier/judge-result.json,True,,True,NOT_APPLICABLE_NO_SCORED_WORKBOOK,alex051107/excelbench-p15-results
B1-codex-R08,B1,new6-b1-v2,new6-b1-reader-v2.3,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/B1-codex-R08.json,8,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__sNyUHBV,existing_unchanged_generation,2026-09-05T20:39:20.330735Z,SCORED,AgentTimeoutError,True,False,results/answers/B1-codex-R08/output/answer.xlsx,results/answers/B1-codex-R08/input,def9558e24964c8fe9d46cd80f0d73ece3b85eb85d49d7abadd648c0a862ec04,0.99550893533304798,True,results/receipts/B1-codex-R08/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
A2-codex-R05,A2,new6-a2-v1.0-zambia,new6-a2-facts-v1.3-real-gdp-labels,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/A2-codex-R05.json,5,NEW6-A-MACRO-SCENARIO-001-CODEX__ejUm3mm,existing_unchanged_generation,2026-09-05T19:12:38.699220Z,SCORED,,True,False,results/answers/A2-codex-R05/output/answer.xlsx,results/answers/A2-codex-R05/input,2db7ac597d57f3d429d0bb63957a53bee151f9e0d8f82d3af3fc94a7f0e23eac,0.764838647714175950825970034575489819439115,True,results/receipts/A2-codex-R05/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
A1-codex-R02,A1,new6-a1-v1.1-historical-rate,new6-a1-v1.3-proven-formula-defects,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/A1-codex-R02.json,2,NEW6-A-FIN-RESTORE-001-CODEX-R02__7LjkeLB,existing_unchanged_generation,2026-09-05T18:06:12.664428Z,SCORED,,True,False,results/answers/A1-codex-R02/output/answer.xlsx,results/answers/A1-codex-R02/input,2e41fe38e8c39205e769c67f2edb7da0d407f75939c54972c483b462e1e2b0dc,0.927453430258973205,True,results/receipts/A1-codex-R02/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
B1-codex-R01,B1,new6-b1-v2,new6-b1-reader-v2.3,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/B1-codex-R01.json,1,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__oGZxSgZ,existing_unchanged_generation,2026-09-05T19:32:27.474527Z,SCORED,,True,False,results/answers/B1-codex-R01/output/answer.xlsx,results/answers/B1-codex-R01/input,d211484e6e8b7da39e90a4144176e5f86acae05f159fbe2b0cde59fa491d820d,0.832222222222222215,True,results/receipts/B1-codex-R01/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
A1-codex-R07,A1,new6-a1-v1.1-historical-rate,new6-a1-v1.3-proven-formula-defects,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/A1-codex-R07.json,7,NEW6-A-FIN-RESTORE-001-CODEX-R07__Kx3YnRc,existing_unchanged_generation,2026-09-05T18:33:48.151040Z,SCORED,,True,False,results/answers/A1-codex-R07/output/answer.xlsx,results/answers/A1-codex-R07/input,6a0584476d700e8f05ca03c436a63e58eb834c91562cd4f0c3f04b901e4d1a8e,1.0,True,results/receipts/A1-codex-R07/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
B1-codex-R05,B1,new6-b1-v2,new6-b1-reader-v2.3,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/B1-codex-R05.json,5,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__3Tw6aKg,existing_unchanged_generation,2026-09-05T20:01:07.648289Z,SCORED,,True,False,results/answers/B1-codex-R05/output/answer.xlsx,results/answers/B1-codex-R05/input,817719b39be4380c7466698b521313635a553e5087d612ef612196281f4801d8,1.0,True,results/receipts/B1-codex-R05/prior/verifier/judge-result.json,True,,True,PARTIAL_REVIEW_TOTAL_NOT_YET_VALIDATED,alex051107/excelbench-p15-results
C2-codex-R03,C2,new6-c2-natural-v2,new6-usps-facts-v2.1-wide-rate-layout,31abf3fa03c358f6134600fe5b0416e6ee24211a,codex,gpt-5.6-sol,[],REQUESTED_ONLY,ab813a092965,results/configs/C2-codex-R03.json,3,NEW6-C-PARCEL-TARIFF-001-CODEX-R__4GZxGZB,existing_unchanged_generation,2026-09-05T22:43:46.327877Z,JUDGE_ERROR,,True,False,results/answers/C2-codex-R03/output/answer.xlsx,results/answers/C2-codex-R03/input,72695a14e39c930577bd14ac934e618dfc14815ab8ff1e6257c422a0da5de977,,,results/receipts/C2-codex-R03/prior/verifier/judge-result.json,True,,True,NOT_APPLICABLE_NO_SCORED_WORKBOOK,alex051107/excelbench-p15-results
