case,task,system,status,original,score_50,score_60,score_70
A1-claude-R02,A1,claude,SCORED,0.696313589421835675,0.672854580690034275252525252525252525252525252525,0.625936563226431475757575757575757575757575757576,0.579018545762828676262626262626262626262626262626
A1-claude-R05,A1,claude,JUDGE_ERROR,,,,
A2-claude-R01,A2,claude,SCORED,0.31711069545581759994993594234289359823245,0.297425388784906083950173349282973924224959523810,0.287582735449450325950292052753014087221214285714,0.277740082113994567950410756223054250217469047619
A2-claude-R02,A2,claude,SCORED,0.33061463843494193090812376252253317178404,0.324833921201093694370682461347079095830542857143,0.321943562584169576101961810759352057853794285714,0.319053203967245457833241160171625019877045714286
A2-claude-R03,A2,claude,JUDGE_ERROR,,,,
A2-claude-R04,A2,claude,JUDGE_ERROR,,,,
A2-claude-R05,A2,claude,JUDGE_ERROR,,,,
A2-claude-R06,A2,claude,JUDGE_ERROR,,,,
A2-claude-R07,A2,claude,JUDGE_ERROR,,,,
A2-codex-R01,A2,codex,JUDGE_ERROR,,,,
A2-codex-R02,A2,codex,SCORED,1,1,1,1
A2-codex-R08,A2,codex,SCORED,0.994006915097963887821744141375336150595455,0.990011525163273146369573568958893584325758333333,0.98801383019592777564348828275067230119091,0.986016135228582404917402996542451018056061666667
A2-qwen-R04,A2,qwen,JUDGE_ERROR,,,,
B1-claude-R01,B1,claude,JUDGE_ERROR,,,,
B1-claude-R02,B1,claude,JUDGE_ERROR,,,,
B1-claude-R03,B1,claude,JUDGE_ERROR,,,,
B1-claude-R04,B1,claude,JUDGE_ERROR,,,,
B1-qwen-R06,B1,qwen,JUDGE_ERROR,,,,
B2-claude-R01,B2,claude,JUDGE_ERROR,,,,
B2-claude-R04,B2,claude,JUDGE_ERROR,,,,
B2-claude-R06,B2,claude,JUDGE_ERROR,,,,
B2-claude-R07,B2,claude,SCORED,0.5615858585858586,0.601195286195286208333333333333333333333333333333,0.5615858585858586,0.521976430976430991666666666666666666666666666667
B2-claude-R08,B2,claude,JUDGE_ERROR,,,,
B2-codex-R01,B2,codex,SCORED,0.835634920634920655,0.82880291005291006875,0.835634920634920655,0.84246693121693124125
B2-codex-R05,B2,codex,SCORED,0.876071428571428565,0.887797619047619039583333333333333333333333333333,0.876071428571428565,0.864345238095238090416666666666666666666666666667
B2-codex-R06,B2,codex,SCORED,0.897222222222222232,0.91435185185185186,0.897222222222222232,0.880092592592592604
B2-codex-R07,B2,codex,SCORED,0.950079365079365075,0.945006613756613752083333333333333333333333333333,0.950079365079365075,0.955152116402116397916666666666666666666666666667
B2-codex-R08,B2,codex,SCORED,0.925099206349206365,0.928654100529100539583333333333333333333333333333,0.925099206349206365,0.921544312169312190416666666666666666666666666667
C1-claude-R01,C1,claude,JUDGE_ERROR,,,,
C1-claude-R04,C1,claude,JUDGE_ERROR,,,,
C1-claude-R05,C1,claude,JUDGE_ERROR,,,,
C1-claude-R06,C1,claude,JUDGE_ERROR,,,,
C1-claude-R07,C1,claude,JUDGE_ERROR,,,,
C1-codex-R01,C1,codex,SCORED,0.86089284648887297893920410476701867430345,0.845231538940148211671390479337499205048880219780,0.855672410639298056516599562957178851218593406593,0.866113282338447901361808646576858497388306593407
C1-codex-R02,C1,codex,SCORED,0.893989973273013871919717010416693687640995,0.868623994307841126153824109482042105134536813187,0.885534646951289623331086043438476493472175604396,0.902445299594738120508347977394910881809814395604
C1-codex-R03,C1,codex,SCORED,0.916235087664687434339032381070964428292405,0.890369284337035560761446163116189030384267582418,0.907613153222136809813170308419372628989692527473,0.924857022107238058864894453722556227595117472527
C1-codex-R04,C1,codex,SCORED,0.802280073047421161443620412811314049436735,0.771532450268413412669099395272732445205833516484,0.792030865454418578518780073631786848026434505495,0.812529280640423744368460751990841250847035494505
C1-codex-R05,C1,codex,SCORED,0.894065091581647873038601515422707475687605,0.870642438523233225219980186867604086147132417582,0.886257540562176323765727739237673012507447472527,0.901872642601119422311475291607741938867762527473
